LOCATIONID,LOCATIONNAME,ZONELEVELID,geometry
0-EU-ES-46-02-002-250-01-001,La Seu,8,
0-EU-ES-46-02-002-250-01-006,Sant Francesc,8,
0-EU-ES-46-02-002-250-06-003,Jaume Roig,8,
0-EU-ES-46-02-002-250-03-002,La Roqueta,8,
0-EU-ES-46-02-002-250-04-002,Les Tendetes,8,
0-EU-ES-46-02-002-250-05-001,Marxalenes,8,
0-EU-ES-46-02-002-250-07-001,Nou Moles,8,
0-EU-ES-46-02-002-250-02-001,Russafa,8,
0-EU-ES-46-02-002-250-11-002,El Cabanyal-El Canyamelar,8,
0-EU-ES-46-02-002-250-07-005,La Llum,8,
0-EU-ES-46-02-002-250-11-004,Beteró,8,
0-EU-ES-46-02-002-250-08-005,Barrio de Favara,8,
0-EU-ES-46-02-002-250-12-002,Albors,8,
0-EU-ES-46-02-002-250-15-001,Els Orriols,8,
0-EU-ES-46-02-002-250-10-001,Mont-Olivet,8,
0-EU-ES-46-02-002-250-16-002,Ciutat Fallera,8,
0-EU-ES-46-02-002-250-13-001,L'Illa Perduda,8,
0-EU-ES-46-02-002-250-10-002,En Corts,8,
0-EU-ES-46-02-002-250-14-001,Benimaclet,8,
0-EU-ES-46-02-002-250-04-006,Nou Campanar,8,
0-EU-ES-46-02-002-250-16-003,Nou Benicalap,8,
0-EU-ES-46-02-002-250-01-003,El Carme,8,
0-EU-ES-46-02-002-250-02-002,El Pla del Remei,8,
0-EU-ES-46-02-002-250-02-003,Gran Vía,8,
0-EU-ES-46-02-002-250-03-003,La Petxina,8,
0-EU-ES-46-02-002-250-03-001,El Botànic,8,
0-EU-ES-46-02-002-250-01-004,El Pilar,8,
0-EU-ES-46-02-002-250-05-003,Trinitat,8,
0-EU-ES-46-02-002-250-11-005,Natzaret,8,
0-EU-ES-46-02-002-250-05-002,Morvedre,8,
0-EU-ES-46-02-002-250-12-005,Penya-Roja,8,
0-EU-ES-46-02-002-250-13-003,L'Amistat,8,
0-EU-ES-46-02-002-250-06-001,Exposició,8,
0-EU-ES-46-02-002-250-05-004,Tormos,8,
0-EU-ES-46-02-002-250-05-005,Sant Antoni,8,
0-EU-ES-46-02-002-250-12-003,La Creu del Grau,8,
0-EU-ES-46-02-002-250-12-001,Aiora,8,
0-EU-ES-46-02-002-250-06-002,Mestalla,8,
0-EU-ES-46-02-002-250-06-004,Ciutat Universitària,8,
0-EU-ES-46-02-002-250-12-004,Camí Fondo,8,
0-EU-ES-46-02-002-250-13-002,Ciutat Jardí,8,
0-EU-ES-46-02-002-250-07-004,La Fontsanta,8,
0-EU-ES-46-02-002-250-08-001,Patraix,8,
0-EU-ES-46-02-002-250-15-002,Torrefiel,8,
0-EU-ES-46-02-002-250-13-004,La Vega Baixa,8,
0-EU-ES-46-02-002-250-08-002,Sant Isidre,8,
0-EU-ES-46-02-002-250-08-003,Vara de Quart,8,
0-EU-ES-46-02-002-250-07-002,Soternes,8,
0-EU-ES-46-02-002-250-08-004,Safranar,8,
0-EU-ES-46-02-002-250-07-003,Tres Forques,8,
0-EU-ES-46-02-002-250-16-001,Benicalap,8,
0-EU-ES-46-02-002-250-14-002,Camí de Vera,8,
0-EU-ES-46-02-002-250-09-002,L'Hort de Senabre,8,
0-EU-ES-46-02-002-250-09-003,La Creu Coberta,8,
0-EU-ES-46-02-002-250-09-001,La Raiosa,8,
0-EU-ES-46-02-002-250-09-004,Sant Marcellí,8,
0-EU-ES-46-02-002-250-04-005,Beniferri,8,
0-EU-ES-46-02-002-250-04-003,El Calvari,8,
0-EU-ES-46-02-002-250-04-001,Campanar,8,
0-EU-ES-46-02-002-250-04-004,Sant Pau,8,
0-EU-ES-46-02-002-250-10-003,Malilla,8,
0-EU-ES-46-02-002-250-10-007,Ciutat de les Arts i de les Ciencies,8,
0-EU-ES-46-02-002-250-10-005,Na Rovella,8,
0-EU-ES-46-02-002-250-10-004,Fonteta de Sant Lluìs,8,
0-EU-ES-46-02-002-250-11-003,Playa de la Malvarrosa,8,
0-EU-ES-46-02-002-250-03-004,Arrancapins,8,
0-EU-ES-46-02-002-250-09-005,Camí Reial,8,
0-EU-ES-46-02-002-250-11-001,El Grau,8,
0-EU-ES-46-02-002-250-13-005,La Carrasca,8,
0-EU-ES-46-02-002-250-10-006,La Punta,8,
0-EU-ES-46-02-002-250-15-003,Sant Llorenç,8,
0-EU-ES-46-02-002-250-01-005,El Mercat,8,
0-EU-ES-46-02-002-250-01-002,La Xerea,8,
