District,N_CADASTRE,N,CITY,geometry
1.0,89467.0,11630.0,Madrid,
2.0,77318.0,4362.0,Madrid,
3.0,57006.0,3892.0,Madrid,
4.0,80666.0,8096.0,Madrid,
5.0,69016.0,5111.0,Madrid,
6.0,82875.0,5883.0,Madrid,
7.0,79250.0,6301.0,Madrid,
8.0,105578.0,3533.0,Madrid,
9.0,57224.0,3512.0,Madrid,
10.0,110214.0,4715.0,Madrid,
11.0,112266.0,6682.0,Madrid,
12.0,56617.0,2985.0,Madrid,
13.0,101259.0,5756.0,Madrid,
14.0,41940.0,1270.0,Madrid,
15.0,103425.0,5719.0,Madrid,
16.0,85666.0,3494.0,Madrid,
17.0,62140.0,3397.0,Madrid,
18.0,49951.0,2498.0,Madrid,
19.0,34594.0,1201.0,Madrid,
20.0,66860.0,3668.0,Madrid,
21.0,22065.0,1097.0,Madrid,
1.0,55995.0,8372.0,Barcelona,
2.0,142134.0,13936.0,Barcelona,
3.0,86008.0,7241.0,Barcelona,
4.0,39300.0,2359.0,Barcelona,
5.0,70689.0,5058.0,Barcelona,
6.0,66565.0,4398.0,Barcelona,
7.0,79467.0,4467.0,Barcelona,
8.0,73877.0,3523.0,Barcelona,
9.0,66745.0,3600.0,Barcelona,
10.0,108960.0,8375.0,Barcelona,
1.0,19806.0,2620.0,Valencia,
2.0,25269.0,2571.0,Valencia,
3.0,27755.0,2766.0,Valencia,
4.0,18810.0,1413.0,Valencia,
5.0,24386.0,2145.0,Valencia,
6.0,15720.0,1184.0,Valencia,
7.0,23956.0,2429.0,Valencia,
8.0,27318.0,2185.0,Valencia,
9.0,25043.0,2356.0,Valencia,
10.0,37005.0,3010.0,Valencia,
11.0,30283.0,2215.0,Valencia,
12.0,32014.0,1949.0,Valencia,
13.0,20455.0,829.0,Valencia,
14.0,15366.0,728.0,Valencia,
15.0,24258.0,2733.0,Valencia,
16.0,22087.0,2420.0,Valencia,
